nombre_farmacia,latitud,longitud
FARMACIAS BENAVIDES SUC JAZMINEZ BCN,3.25232639,-117.1201127
FARMAHORRO,32.52812925,-117.1160932
FARMACIA GUADALAJARA,32.52814052,-117.1160931
FARMACIAS PUEBLO VIEJO,32.52305756,-117.1159582
BOTICAS GUADALUPANA,32.52905442,-117.0893834
BOTICAS GUADALUPANA,32.52691822,-117.0889031
FARMACIA PATTYS,3.25160825,-117.0836044
FARMACIAS BENAVIDES SUC CALLE H BCN,32.53327998,-117.079138
BOTICAS GUADALUPANA,32.52663766,-117.076327
BOTICAS GUADALUPANA,32.52986729,-117.0737075
FARMACIAS BENAVIDES SUC JUSTO SIERRA BCN,32.53288518,-117.0730378
BOTICAS GUADALUPANA,32.48378021,-117.0678816
FARMACIA GUADALAJARA,32.47766385,-117.0666033
FARMACIAS BENAVIDES SUC AVIACION BCN,32.50998582,-117.0609637
FARMACIA ROMA JUSTO SIERRA,32.36690155,-117.0602959
FARMACIA BENAVIDES SUC PLAZA SOL MEXICALI BCN,32.36687696,-117.06029
FARMACIAS BENAVIDES SUC CACHANILLA BCN,32.36606147,-117.0597843
FARMACIAS BENAVIDES SUC VISTA HERMOSA BCN,32.36276674,-117.0594188
FARMACIA GUADALAJARA,32.51482804,-117.0579367
FARMACIAS BENAVIDES SUC MICHOACAN BCN,32.51436911,-117.0576651
FARMACIAS BENAVIDES SUC PUEBLO NUEVO BCN,32.36582056,-117.0539497
FARMACIA BENAVIDES SUC CATAVIÑA BCN,32.32582123,-117.0500061
BOTICAS GUADALUPANA,32.36090235,-117.0496223
FARMACIAS BENAVIDES SUC CETYS BCN,32.40769558,-117.0481007
FARMACIAS ROMA PLAZA 686,32.53320024,-117.047161
FARMACIAS YZA,32.53474317,-117.0459446
FARMACIAS ROMA EL CABALLITO,32.52674167,-117.045147
FARMACIA VERONICA,32.53198409,-117.044912
FARMACIAS BENAVIDES SUC GLORIETA B. JUAREZ BCN,32.53494171,-117.0435625
FARMACIAS EL REY IV,3.25324252,-117.0431143
FARMACIA BENAVIDES SUC ELECTRICISTAS BCN,32.53486753,-117.0425986
FARMACIA ROMA SANTA BARBARA,32.43282203,-117.0425317
FARMACIA GUADALAJARA,32.53493137,-117.0418667
FARMACIA GENERICOS,32.53245358,-117.0415139
FARMACIA SAN MARTIN,3.24907742,-117.0414197
FARMACIAS GUADALAJARA,32.53636527,-117.0408678
FARMACIA DRA. FARMACOSTO,32.53183568,-117.0398684
FARMACIAS BENAVIDES SUC LOS ANGELES BCN,32.53171534,-117.038043
FARMACIA SANTA MONICA,3.25339696,-117.0377063
FARMACIAS BENAVIDES SUC COLEGIO MILITAR BCN,32.52669224,-117.0373918
FARMACIAS BENAVIDES SUC RIO FUERTE BCN,32.53372737,-117.036878
FARMACIAS BENAVIDES SUC MARY CRISTY BCN,32.53538758,-117.0366227
FARMACIA GUADALAJARA,32.53124413,-117.0365929
FARMACIA BENAVIDES SUC MEXICALI CENTER BCN,32.48204689,-117.0361515
FARMACIAS GUADALAJARA,32.44378961,-117.0356694
FARMACIA BENAVIDES SUC CALLE NOVENA BCN,32.53281732,-117.0356168
FARMACIAS BENAVIDES,32.53570306,-117.035202
FARMACIA BENAVIDES SUC CUERVOS BCN,32.53623466,-117.0337607
FARMACIAS BENAVIDES SUC SAN MARCOS BCN,3.24865819,-117.0329435
FARMACIAS PATTYS,3.25331893,-117.0329146
BOTICAS GUADALUPANA,32.52291925,-117.032326
FARMACIA MOCORITO,32.53446747,-117.0322189
FARMACIAS SIMILARES,32.48936565,-117.0315374
GI FARMACIAS DE MÉXICO,32.43575222,-117.0313929
FARMACIAS GUADALAJARA,32.49264489,-117.0309418
FARMACIAS GUADALAJARA,32.53863113,-117.0286703
FARMACIAS GUADALAJARA,32.52994758,-117.0284428
FARMACIAS BENAVIDES SUC PALMAR BCN,32.53026312,-117.025486
FARMACIA BENAVIDES SUC 5 Y LAZARO BCN,32.53679144,-117.0245755
FARMACIAS BENAVIDES SUC CARVAJAL BCN,32.52812875,-117.0240519
FARMACIA GUADALAJARA,32.51182276,-117.0225201
FARMACIAS BENAVIDES,32.51690989,-117.0212939
FARMACIAS ROMA TELEVISORA,32.53721551,-117.0150929
FARMACIAS GUADALAJARA,32.44441319,-117.0146088
FARMACIAS DEL AHORRO BCN MLGF MEXICALI 1271,32.52336114,-117.01455
FARMACIAS BENAVIDES SUC VILLA FONTANA BCN,3.25365222,-117.0139728
FARMACIA GUADALAJARA,32.51139691,-117.0132585
FARMACIAS SANTA MONICA,32.52116001,-117.0126878
FARMACIAS BENAVIDES SUC VILLANOVA BCA,32.51854029,-117.0118904
BOTICAS GUADALUPANA,32.53060136,-117.0116932
UNIVERSAL NATURAL CENTER,32.51349589,-117.00859
BOTICA GUADALUPANA,32.51477218,-117.0078771
BOTICAS GUADALUPANA,32.46827224,-117.0046186
FARMACIA SANTA MONICA,32.46958267,-117.0037889
FARMACIAS BENAVIDES SUC MEXICALI BCN,32.51246311,-117.0032384
FARMACIA SUPER REYNA,32.54053124,-117.0008511
FARMACIAS BENAVIDES SUC SANCHEZ TABOADA BCN,32.50796368,-116.9995008
FARMACIAS BENAVIDES SUC BRAULIO MALDONADO BCN,32.54100931,-116.9975698
FARMACIA BENAVIDES SUC ISLAS AGRARIAS BCN,32.52395918,-116.9966723
FARMACIA ARIANA,32.53913288,-116.9961106
BOTICA SANTA MÓNICA,32.49739567,-116.9920704
FARMACIA ANGELES,32.52839799,-116.9912592
FARMACIAS BENAVIDES SUC PALACO BCN,32.47009005,-116.987523
FARMACIAS SIMILARES,32.49871117,-116.9853595
FARMACIAS GUADALAJARA,32.50665208,-116.9850663
SUPER FARMACIAS DE MEXICALI,32.50862309,-116.983822
OMNILIFE,32.52951004,-116.9778646
FARMACIA BENAVIDES SUC MONARCAS BCN,32.50530333,-116.9777203
FARMACIAS BENAVIDES SU CCONDOR BCN,32.50463543,-116.9766017
FARMACIAS BENAVIDES SUC LOMBARDO TOLEDANO BCN,32.49768167,-116.9738555
FARMACIAS GUADALAJARA,32.47735112,-116.9693082
FARMACIA ANGEL DE AMOR,32.49986906,-116.9684637
FARMACIA GUADALAJARA,32.49858549,-116.9661613
FARMACIAS BENAVIDES SUC LOS PORTALES MEXICALI BCN,32.46109348,-116.9652697
FARMACIA EMANUEL,32.42518127,-116.9652303
BOTICAS GUADALUPANA,32.42518076,-116.9652296
FARMACIAS BENAVIDES,32.46113436,-116.965208
FARMACIAS BENAVIDES SUC TORINO BCN,32.49699326,-116.9631385
FARMACIAS ROMA VIDAURRI,32.49261534,-116.9560985
FARMACIAS BENAVIDES SUC SANTIAGO VIDAURRI BCN,32.46659356,-116.9553217
FARMACIAS GUADALAJARA,32.51124379,-116.9553041
FARMACIAS GUADALAJARA,32.46859987,-116.9537047
FARMACIAS AMALIA,32.43408101,-116.9526325
FARMACIAS BENAVIDES SUC PEDREGAL BCN,32.53406916,-116.9499432
FARMACIAS BENAVIDES SUC SAN ANGEL BCN,32.51713755,-116.9460438
BOTICAS GUADALUPANA,32.53343835,-116.9405686
