nombre_hospital,latitud,longitud,
BIOGYNE,28.04144978,-1.04E+08,
BIOMATERNA CLINICA GINECOBSTETRA,33,-117.119859,
CENTRO DE ATENCION INTEGRAL DEL ADULTO MAYOR,33,-117.119448,
CENTRO DE SEGURIDAD SOCIAL,33,-117.0915106,
CENTRO MEDICO LA ESPERANZA,32,-117.0714889,
CENTRO MEDICO LA MORA,32,-117.0695128,
CENTRO MEDICO LA SALUD,33,-117.0645222,
CLINICA CASA BLANCA,32,-117.0639639,
CLINICA GUADALUPE,32,-117.0599423,
CLINICA GYNE,32,-117.0597528,
CLINICA JUAN PABLO II,33,-117.0572578,
CLINICA SAN JUAN,32,-117.0570453,
CLINICA SANTA ELENA DEL VALLE DE HUEJ?CAR,32,-117.0558862,
CLINICA Y HOSPITAL VIRGEN DEL CARMEN,32,-117.0557571,
CRUZ ROJA MEXICANA,32,-117.0542849,
HOSPITAL CARDIOLOGICA AGUASCALIENTES,32,-117.0532171,
HOSPITAL CENTENARIO MIGUEL HIDALGO,32,-117.0492648,
HOSPITAL DE LA MUJER,33,-117.0469196,
HOSPITAL GENERAL DE PABELLON DE ARTEAGA,33,-117.0467464,
HOSPITAL GENERAL DE RINCON DE ROMOS,3,-117.0426213,
HOSPITAL GENERAL DE ZONA NO 1,33,-117.0415791,
HOSPITAL GENERAL DE ZONA NUMERO 2,33,-117.0411001,
HOSPITAL GENERAL DE ZONA NUMERO 3,33,-117.0398991,
HOSPITAL GENERAL ISEA,33,-117.0388092,
HOSPITAL GENERAL TERCER MILENIO,32,-117.0374278,
HOSPITAL MAC AGUASCALIENTES,33,-117.0367721,
HOSPITAL MAC AGUASCALIENTES SUR,33,-117.0358915,
HOSPITAL SAN GERONIMO EMILIANI,33,-117.0352623,
HOSPITAL SMI,32,-117.0330174,
HOSPITAL STAR MEDICA AGUASCALIENTES,3,-117.0329435,
ISSSTE HOSPITAL GENERAL AGUASCALIENTES,33,-117.0314577,
MEDICA SAN FRANCISCO DE AGUASCALIENTES,33,-117.0282052,
PRESTADORA DE SERVICIOS QUIRURGICOS,33,-117.0269494,
PROMOTORA INMOBILIARIA MDICA DE AGUASCALIENTES,33,-117.0247924,
SAN PEREGRINO C?NCER CENTER,32,-117.0235075,
TORRE MEDICA SANTA MAR?A,33,-117.022822,
UDIMEPE,33,-117.02249,
UDIMPE,33,-117.0207854,
UNIDAD MATERNO INFANTIL MED NOR,33,-117.0201366,
UNIDAD MEDICA,33,-117.0201366,
UNIDAD MEDICA DE ATENCI?N AMBULATORIA,33,-117.0201359,
UUMED,33,-117.0199681,
ADMINISTRATIVO CL?NICA DE ESPECIALISTAS,33,-117.017906,
ALCA DESARROLLADORA DE PROYECTOS Y SERVICIOS COMERCIALES,33,-117.0171961,
AMIGOS DEL HOSPITAL,33,-117.0155094,
CEMA CLINICA ESPECIALIZADA EN MEDICINA AMBULATORIA,33,-117.0152811,
CENTRO CARDIOLOGICO DE SALTILLO,33,-117.0146997,
CENTRO COMUNITARIO ELISEO MENDOZA BERRUETO,33,-117.01455,
CENTRO COMUNITARIO JOSE MANUEL ALANIS,33,-117.0140491,
CENTRO DE GINECOLOGIA DE SALTILLO,33,-117.0140491,
CENTRO DE SALUD,33,-117.0136021,
CENTRO DE SALUD CON HOSPITAL DE SABINAS,33,-117.012622,
CENTRO DE SALUD CON HOSPITAL PARRAS,33,-117.012468,
CENTRO DE SEGURIDAD SOCIAL,33,-117.0123776,
CENTRO ESTATAL DE SALUD MENTAL,3,-117.011665,
CENTRO HOSPITALARIO DE LA CONCEPCION,3,-117.011665,
CENTRO MEDICO EDISON,33,-117.0097907,
CENTRO MEDICO PEDIATRA,33,-117.0097279,
CENTRO MEDICO SAN FRANCISCO,33,-117.00946,
CENTRO MEDICO SEMMA,33,-117.0093377,
CENTRO MEDICO Z CRUZ,33,-117.0092647,
CENTRO MEDICO Z CRUZ MELCHOR MUZQUIZ,33,-117.0091634,
CENTRO NEUROLOGICO PARA NI?OS Y ADOLECENTES TORREON,33,-117.0091605,
CENTRO NEUROLOGICO PARA NI?OS Y ADOLECENTES TORREON ?LM?L,33,-117.0086832,
CENTRO RENAL DE MONCLOVA,33,-117.0084031,
CENTRO SALUD RURAL,33,-117.0075571,
CENTRO SUBURBANO LAZARO CARDENAS,33,-116.9903623,
CHRISTUS MUGUERZA SISTEMAS HOSPITALARIOS SA DE CV SALTILLO,33,-116.9890113,
CLINICA 10 SANBUENAVENTURA,33,-116.9889916,
CLINICA 33 DEL SEGURO SOCIAL,33,-116.988071,
CLINICA CARITAS LAFON,33,-116.9849539,
CLINICA CENTRO MEDICO,32,-116.9822662,
CLINICA DE ESPECIALIDADES,33,-116.9734882,
