estado,precio_promedio
Aguascalientes,319.0171111
Baja California,359.5148799
Baja California Sur,362.9918627
Campeche,344.0964602
Coahuila de Zaragoza,318.0224072
Colima,320.179703
Chiapas,363.6402774
Chihuahua,376.7261971
Ciudad de México,393.917619
Durango,425.1474444
Guanajuato,358.5027273
Guerrero,339.841255
Hidalgo,365.5321858
Jalisco,382.7108859
México,335.4361969
Michoacán de Ocampo,300.9135975
Morelos,236.5697196
Nayarit,313.2501053
Nuevo León,425.879375
Oaxaca,350.9628099
Puebla,299.1097586
Querétaro,402.9376404
Quintana Roo,277.769021
San Luis Potosí,315.6073832
Sinaloa,390.7163303
Sonora,278.993257
Tabasco,253.54
Tamaulipas,340.4599401
Tlaxcala,302.6225
Veracruz de Ignacio de la Llave,333.460433
Yucatán,358.1967021
Zacatecas,373.2397904
